objectid,object_location,title,format,type,display_template,creator,publisher,date,description,subject,image_small,image_thumb,image_alt_text
jrhp_001,/objects/sookejr.jpg,Aerial Photo of Estuary with Lumber Mill,Image/JPG,photo,image,,,,,Forestry; Mill; Coastline,/objects/small//objects/sookejr.jpg_sm.jpg,/object/thumb/objects/sookejr.jpg_th.jpg,
jrhp_002,/objects/54633sookeCOWICHANCOPPERMINE1965.jpg,Chowichan Copper Mine,Image/JPG,photo,image,,,1965,,Mining; Copper,/objects/small//objects/54633sookeCOWICHANCOPPERMINE1965.jpg_sm.jpg,/object/thumb/objects/54633sookeCOWICHANCOPPERMINE1965.jpg_th.jpg,
jrhfn_001,/objects/1983ethnobotany_nancyturner.pdf,Ethnobotany of the Nitinaht Indians of Vancouver Island,application/pdf,Book,pdf,,,1983,,Ethnobotany; Plants; Indigenous; First Nations; Biology,/objects/small//objects/1983ethnobotany_nancyturner.pdf_sm.jpg,/object/thumb/objects/1983ethnobotany_nancyturner.pdf_th.jpg,
jrhfn_002,/objects/2022canadawateragencyvirtualdialogue.pdf,Water Dialogue Series: Canada Water Agency What We Heard Report,application/pdf,Report,pdf,,,2022-07-01,,"Advocacy, Canada Water Agency; First Nations",/objects/small//objects/2022canadawateragencyvirtualdialogue.pdf_sm.jpg,/object/thumb/objects/2022canadawateragencyvirtualdialogue.pdf_th.jpg,
jrhfn_003,/objects/2022bc_firstnationstoappealnechakorivercourtruling.pdf,"B.C. First Nations plan to appeal ruling to
restore natural river flows 70 years later",application/pdf,News Article,pdf,BC Assembly of First Nations,BC Assembly of First Nations,2022-02-04,,Legal Case; River Diversion; First Nations; Advocacy; Salmon,/objects/small//objects/2022bc_firstnationstoappealnechakorivercourtruling.pdf_sm.jpg,/object/thumb/objects/2022bc_firstnationstoappealnechakorivercourtruling.pdf_th.jpg,
jrhfn_004,/objects/ditidahtandpacheedaht2019treatyagreementinprinciple.pdf,Ditidaht & Pacheedaht Agreement in Principle - Treaty,application/pdf,Treaty Document,pdf,CTV News Vancouver,CTV News Vancouver,2019-06-28,,First Nations; Treaty,/objects/small//objects/ditidahtandpacheedaht2019treatyagreementinprinciple.pdf_sm.jpg,/object/thumb/objects/ditidahtandpacheedaht2019treatyagreementinprinciple.pdf_th.jpg,
